experiment,algorithm,n,S,seed,trial,comparisons,cpu_seconds,wall_seconds,sorted
optimal,hybrid,100000,48,20360903,1,1947302,0.46875,0.4898033000063151,True
optimal,hybrid,100000,48,20360903,2,1947302,0.421875,0.4234181000501849,True
optimal,hybrid,100000,48,20360903,3,1947302,0.40625,0.39568390004569665,True
optimal,hybrid,100000,64,20360903,1,2382127,0.453125,0.45774649997474626,True
optimal,hybrid,100000,64,20360903,2,2382127,0.421875,0.4504690000321716,True
optimal,hybrid,100000,64,20360903,3,2382127,0.453125,0.46743530000094324,True
optimal,hybrid,100000,96,20360903,1,2382127,0.515625,0.5151828000089154,True
optimal,hybrid,100000,96,20360903,2,2382127,0.421875,0.42580690002068877,True
optimal,hybrid,100000,96,20360903,3,2382127,0.4375,0.44447750004474074,True
optimal,hybrid,1000000,4,21260903,1,18728037,4.796875,4.966001500026323,True
optimal,hybrid,1000000,4,21260903,2,18728037,5.25,5.4585314999567345,True
optimal,hybrid,1000000,4,21260903,3,18728037,4.5625,4.850418999965768,True
optimal,hybrid,1000000,8,21260903,1,19072326,4.46875,4.749394599988591,True
optimal,hybrid,1000000,8,21260903,2,19072326,4.765625,4.8545660999952815,True
optimal,hybrid,1000000,8,21260903,3,19072326,5.09375,5.213889600010589,True
optimal,hybrid,1000000,12,21260903,1,19072326,4.5625,4.647093999956269,True
optimal,hybrid,1000000,12,21260903,2,19072326,4.59375,4.723441999987699,True
optimal,hybrid,1000000,12,21260903,3,19072326,4.625,4.834653600002639,True
optimal,hybrid,1000000,16,21260903,1,20223490,4.890625,5.03005270002177,True
optimal,hybrid,1000000,16,21260903,2,20223490,4.71875,4.872492199996486,True
optimal,hybrid,1000000,16,21260903,3,20223490,4.9375,5.08813689998351,True
optimal,hybrid,1000000,24,21260903,1,20223490,4.6875,4.773986700049136,True
optimal,hybrid,1000000,24,21260903,2,20223490,4.515625,4.828659599996172,True
optimal,hybrid,1000000,24,21260903,3,20223490,4.703125,5.1024164000409655,True
optimal,hybrid,1000000,32,21260903,1,23189316,5.234375,5.474007199984044,True
optimal,hybrid,1000000,32,21260903,2,23189316,4.828125,5.0973735000006855,True
optimal,hybrid,1000000,32,21260903,3,23189316,5.28125,5.404738400015049,True
optimal,hybrid,1000000,48,21260903,1,23189316,5.125,5.257891400018707,True
optimal,hybrid,1000000,48,21260903,2,23189316,5.390625,5.519129000022076,True
optimal,hybrid,1000000,48,21260903,3,23189316,5.109375,5.267278300016187,True
optimal,hybrid,1000000,64,21260903,1,29907584,5.828125,6.080864600022323,True
optimal,hybrid,1000000,64,21260903,2,29907584,6.09375,6.368668899987824,True
optimal,hybrid,1000000,64,21260903,3,29907584,6.421875,6.692859900009353,True
optimal,hybrid,1000000,96,21260903,1,29907584,6.234375,6.580318599997554,True
optimal,hybrid,1000000,96,21260903,2,29907584,5.765625,5.918788799957838,True
optimal,hybrid,1000000,96,21260903,3,29907584,6.0625,6.256841599999461,True
optimal,hybrid,10000000,4,30260903,1,220222163,64.1875,67.19005740003195,True
optimal,hybrid,10000000,4,30260903,2,220222163,66.109375,68.68480079999426,True
optimal,hybrid,10000000,4,30260903,3,220222163,63.765625,66.75220020004781,True
optimal,hybrid,10000000,8,30260903,1,221110763,60.609375,63.23043530003633,True
optimal,hybrid,10000000,8,30260903,2,221110763,62.734375,65.21182009996846,True
optimal,hybrid,10000000,8,30260903,3,221110763,61.921875,64.5058497999562,True
optimal,hybrid,10000000,12,30260903,1,226413194,60.875,62.98813029995654,True
optimal,hybrid,10000000,12,30260903,2,226413194,60.25,63.37898650002899,True
optimal,hybrid,10000000,12,30260903,3,226413194,61.625,63.528960999974515,True
optimal,hybrid,10000000,16,30260903,1,226413194,60.546875,63.375044299988076,True
optimal,hybrid,10000000,16,30260903,2,226413194,61.4375,63.72749150003074,True
optimal,hybrid,10000000,16,30260903,3,226413194,61.59375,64.62359890004154,True
optimal,hybrid,10000000,24,30260903,1,242317935,61.6875,63.970072700001765,True
optimal,hybrid,10000000,24,30260903,2,242317935,61.40625,63.85928309999872,True
optimal,hybrid,10000000,24,30260903,3,242317935,60.640625,62.735903699998744,True
optimal,hybrid,10000000,32,30260903,1,242317935,62.140625,64.83260530000553,True
optimal,hybrid,10000000,32,30260903,2,242317935,60.96875,63.961508300038986,True
optimal,hybrid,10000000,32,30260903,3,242317935,61.0,63.246771900041495,True
optimal,hybrid,10000000,48,30260903,1,281250464,66.671875,69.2298543000361,True
optimal,hybrid,10000000,48,30260903,2,281250464,67.875,70.58243909996236,True
optimal,hybrid,10000000,48,30260903,3,281250464,66.171875,69.12790849996964,True
optimal,hybrid,10000000,64,30260903,1,281250464,66.21875,68.2156990999938,True
optimal,hybrid,10000000,64,30260903,2,281250464,68.140625,70.2347723999992,True
optimal,hybrid,10000000,64,30260903,3,281250464,58.671875,61.597195200040005,True
optimal,hybrid,10000000,96,30260903,1,367276264,70.203125,71.94012050004676,True
optimal,hybrid,10000000,96,30260903,2,367276264,69.734375,74.12170829996467,True
optimal,hybrid,10000000,96,30260903,3,367276264,69.921875,71.59270680003101,True
comparison,merge,10000000,1,20260904,1,220099684,171.8125,201.40405890002148,True
comparison,merge,10000000,1,20260904,2,220099684,199.15625,229.13777040003333,True
comparison,merge,10000000,1,20260904,3,220099684,81.546875,83.49235429998953,True
comparison,hybrid,10000000,12,20260904,1,226422048,76.921875,78.10682479996467,True
comparison,hybrid,10000000,12,20260904,2,226422048,75.859375,77.63480630004779,True
comparison,hybrid,10000000,12,20260904,3,226422048,114.25,118.53045419999398,True
